index,x,y,z,confidence
483,-0.083059,1.405559,0.211921,1.00
484,0.032817,1.462080,-0.004750,1.00
485,0.148693,1.424444,0.034388,1.00
486,0.006391,1.458035,0.199218,1.00
487,-0.135910,1.478298,0.167471,1.00
488,-0.030516,1.503415,0.135723,1.00
489,0.074877,1.525479,0.051216,1.00
490,0.249210,1.423444,-0.110467,1.00
491,0.245355,1.470404,0.024343,1.00
492,0.241499,1.557304,-0.098035,1.00
493,0.171560,1.625219,-0.021940,1.00
494,0.214959,1.569419,-0.024849,1.00
495,0.043091,1.451493,-0.158849,1.00
496,-0.060184,1.610860,0.132729,1.00
497,-0.012284,1.641966,0.128656,1.00
498,0.087674,1.641727,0.074418,1.00
499,-0.021312,1.697105,0.097703,1.00
